"","1950–1954","1955–1959","1960–1964","1965–1969","1970–1974","1975–1979","1980–1984","1985–1989","1990–1994","1995–1999","2000–2004","2005–2009","2010–2014","2015–2019"
"Canada",14.5,13.8,13.4,13.1,13,12.7,12.2,11.7,11.4,11,10.7,10.6,10.5,10.5
"Alberta",14,13.4,13.2,13.1,13,12.8,12.3,11.9,11.6,11.2,11,10.9,10.7,10.9
"British Columbia",14.2,13.8,13.3,13.3,13.4,13,12.4,11.8,11.5,11,10.6,10.5,10.3,10.5
"Manitoba",13.9,13.5,13.1,13.1,13,12.9,12.3,12,11.7,11.5,11.4,11.5,11.3,11.5
"New Brunswick",15,14.4,13.6,13.4,13.2,13.1,12.5,11.9,11.5,11.2,10.8,10.8,10.6,10.6
"Newfoundland",15,14.2,13.6,13.2,12.7,12.2,12.1,11.6,11.2,10.9,10.7,10.7,10.6,10.6
"Nova Scotia",14.4,14,13.8,13.6,13.3,12.8,12.4,11.9,11.6,11.1,10.9,10.8,10.7,10.6
"Northwest Territories",24.4,22.5,21.7,18.2,17.4,16.2,15.1,14.5,13.8,13.6,12.8,12.7,13.2,12.7
"Ontario",13.8,13.3,13,12.9,12.7,12.4,11.9,11.5,11.2,10.7,10.5,10.4,10.3,10.4
"Prince Edward Island",14,13.9,13.7,14,13.7,13.3,12.2,11.9,11.7,11.4,10.8,10.6,10.4,10.1
"Quebec",15.2,14.2,13.5,13.1,12.8,12.6,12.1,11.7,11.5,11.1,10.7,10.6,10.3,10.1
"Saskatchewan",13.7,13.2,13,13.2,13.1,12.9,12.4,12,11.7,11.5,11.4,11.5,11.4,11.6
"Yukon",16.3,15.9,16.5,16.5,15.8,15.2,14.5,13.6,12.6,12.5,11.9,11.3,11.3,11.7
